,Rank,Country Name,Population,Calculated Number of Enslaved,Estimated Enslaved (Lower Range),Estimate Enslaved (Upper Range),iso3,Calculated Percentage
0,1,Mauritania,3796141,151353,140000.0,160000.0,MRT,3.987022610593231
1,2,Haiti,10173775,209165,200000.0,220000.0,HTI,2.055923194684372
2,3,Pakistan,179160111,2127132,2000000.0,2200000.0,PAK,1.1872799074119798
3,4,India,1236686732,13956010,13300000.0,14700000.0,IND,1.128500018547947
4,5,Nepal,27474377,258806,250000.0,270000.0,NPL,0.9419904225671796
5,6,Moldova,3559541,33325,32000.0,35000.0,MDA,0.9362162143939345
6,7,Benin,10050702,80371,76000.0,84000.0,BEN,0.7996555862466124
7,8,Côte d'Ivoire,19839750,156827,150000.0,160000.0,CIV,0.79046862989705
8,9,Gambia,1791225,14046,13000.0,15000.0,GMB,0.7841560942930117
9,10,Gabon,1632572,13707,13000.0,14000.0,GAB,0.8395954359133931
10,11,Senegal,13726021,102481,98000.0,110000.0,SEN,0.7466184118471041
11,12,Ethiopia,91728849,651110,620000.0,680000.0,ETH,0.7098203096389011
12,13,Sierra Leone,5978727,44644,42000.0,47000.0,SLE,0.7467141416559078
13,14,Togo,6642928,48794,46000.0,51000.0,TGO,0.7345254983946838
14,15,Cape Verde,494401,3688,3500.0,3900.0,CPV,0.745953183751651
15,15,Eritrea,6130922,44452,42000.0,47000.0,ERI,0.7250459229460104
16,17,Guinea,11451273,82198,78000.0,86000.0,GIN,0.7178066578274747
17,18,Ghana,25366462,181038,170000.0,190000.0,GHA,0.7136903837831228
18,19,Republic of Congo,4337051,30889,29000.0,32000.0,COD,0.7122120537664879
19,20,Guinea-Bissau,1663558,12186,12000.0,13000.0,GNB,0.7325263080698118
20,20,Cameroon,21699631,153258,150000.0,160000.0,CMR,0.706270074362094
21,22,Sudan,37195349,264518,250000.0,280000.0,SDN,0.7111588064410956
22,23,Democratic Republic of the Congo,65705093,462327,440000.0,490000.0,COD,0.703639518476901
23,24,Thailand,66785001,472811,450000.0,500000.0,THA,0.7079598606279874
24,25,Uganda,36345860,254541,240000.0,270000.0,UGA,0.7003301063725001
25,26,Burkina Faso,16460141,114745,110000.0,120000.0,BFA,0.6971082446985114
26,27,Somalia,10195134,73156,69000.0,77000.0,SOM,0.7175580036515459
27,28,Niger,17157042,121249,120000.0,130000.0,NER,0.706701073530041
28,29,Tanzania,47783107,329503,310000.0,350000.0,TZA,0.6895805247657922
29,30,Laos,6645827,50440,48000.0,53000.0,LAO,0.7589725101180034
30,31,Central African Republic,4525209,32174,31000.0,34000.0,CAF,0.7109947849922512
31,32,Liberia,4190435,29504,28000.0,31000.0,LBR,0.7040796480556315
32,33,Malawi,15906483,110391,100000.0,120000.0,MWI,0.6940000501682239
33,34,Chad,12448175,86329,82000.0,91000.0,TCD,0.6935072811878046
34,35,Mozambique,25203395,173493,160000.0,180000.0,MOZ,0.6883715467697903
35,35,Mali,14853572,102240,98000.0,110000.0,MLI,0.6883192810456636
36,35,Equatorial Guinea,736296,5453,5200.0,5800.0,GNQ,0.7405988895770179
37,38,Cambodia,14864646,106507,100000.0,110000.0,KHM,0.7165121860285135
38,39,Botswana,2003910,14298,14000.0,15000.0,BWA,0.7135050975343205
39,40,Zambia,14075099,96175,90000.0,100000.0,ZMB,0.6832989238654733
40,41,Burundi,9849569,71146,68000.0,75000.0,BDI,0.7223260225904301
41,42,Myanmar,52797319,384037,360000.0,400000.0,MMR,0.7273797368385315
42,43,Rwanda,11457801,80284,76000.0,84000.0,RWA,0.7006929165552797
43,44,Lesotho,2051545,14560,14000.0,15000.0,LSO,0.7097090241744636
44,45,Zimbabwe,13724317,93749,89000.0,98000.0,ZWE,0.6830868159049373
45,46,Namibia,2259393,15729,15000.0,17000.0,NAM,0.6961604289293629
46,47,Uzbekistan,29776850,166667,160000.0,180000.0,UZB,0.5597200509792003
47,48,Nigeria,168833776,701032,670000.0,740000.0,NGA,0.41522023413135056
48,49,Russia,143533000,516217,490000.0,540000.0,RUS,0.359650393986052
49,50,Georgia,4511800,16227,15000.0,17000.0,GEO,0.3596568996852697
50,51,Azerbaijan,9297507,33439,32000.0,35000.0,AZE,0.3596555506761113
51,51,Albania,3162083,11372,11000.0,12000.0,ALB,0.35963635363145113
52,53,Montenegro,621081,2234,2100.0,2400.0,MNE,0.359695434250927
53,54,Czech Republic,10514810,37817,36000.0,40000.0,CZE,0.35965462048291885
54,54,Hungary,9943755,35763,34000.0,38000.0,HUN,0.35965286755355497
55,56,Bulgaria,7304632,27739,26000.0,29000.0,BGR,0.3797453451453817
56,57,Armenia,2969081,10678,10000.0,11000.0,ARM,0.35963990204376367
57,58,Afghanistan,29824536,86089,82000.0,90000.0,AFG,0.28865159880442065
58,59,Bosnia and Herzegovina,3833916,13789,13000.0,15000.0,BIH,0.3596583754051993
59,59,Serbia,7223887,25981,25000.0,27000.0,SRB,0.35965402005873015
60,61,Croatia,4267000,15346,15000.0,16000.0,HRV,0.35964377782985707
61,61,Poland,38542737,138619,130000.0,150000.0,POL,0.35965012033265825
62,61,Slovakia,5410267,19458,18000.0,20000.0,SVK,0.35964953300826
63,64,Vietnam,88775500,248705,240000.0,260000.0,VNM,0.2801504919713209
64,65,Peru,29987800,82272,78000.0,86000.0,PER,0.2743515696383196
65,66,Djibouti,859652,2929,2890.0,3100.0,DJI,0.34071926779673634
66,67,Slovenia,2058152,7402,7000.0,7800.0,SVN,0.35964301956318095
67,68,Suriname,534541,1522,1500.0,1600.0,SUR,0.2847302639086618
68,69,Ecuador,15492264,44072,42000.0,46000.0,ECU,0.28447746565640764
69,70,Tajikistan,8008990,23802,23000.0,25000.0,TJK,0.29719103157826393
70,71,Bangladesh,154695368,343192,330000.0,360000.0,BGD,0.2218502107962276
71,72,Uruguay,3395253,9978,9500.0,10000.0,URY,0.2938808978299997
72,73,Colombia,47704427,129923,120000.0,140000.0,COL,0.2723499854636133
73,74,Paraguay,6687361,19602,19000.0,21000.0,PRY,0.29312011120679743
74,75,Venezuela,29954782,79629,76000.0,84000.0,VEN,0.265830677719504
75,76,Bolivia,10496285,29886,28000.0,31000.0,BOL,0.2847293113706421
76,77,Guyana,795369,2264,2200.0,2400.0,GUY,0.2846477546899615
77,78,Libya,6154623,17683,17000.0,19000.0,LBY,0.2873124803907567
78,79,Dominican Republic,10276621,23183,22000.0,24000.0,DOM,0.2255897147515706
79,80,Macedonia,2105575,6226,5900.0,6500.0,MKD,0.2956912007408902
80,81,Kyrgyzstan,5582100,16027,15000.0,17000.0,KGZ,0.2871141685028932
81,82,Saudi Arabia,28287855,57504,55000.0,60000.0,SAU,0.20328158497701573
82,83,Turkmenistan,5172931,14711,14000.0,15000.0,TKM,0.2843842301395476
83,84,China,1350695000,2949243,2800000.0,3100000.0,CHN,0.21835003461181096
