,State,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,fips
0,Alabama,0.77,0.59,2.3,0.67,0.46,0.23,0.27,0.13,0.12,0.19,0.14,0.26,0.0,0.02,0.13,US01
1,Alaska,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US02
2,Arizona,1.51,2.14,0.21,1.16,1.11,0.39,0.51,0.06,1.1,0.78,0.8,0.44,0.34,0.89,0.83,US04
3,Arkansas,0.11,0.39,9.15,0.15,0.13,0.01,0.04,1.39,0.42,0.0,0.0,0.0,0.05,0.0,0.05,US05
4,California,7.14,19.14,32.61,12.46,6.87,5.86,5.95,6.52,6.99,7.88,7.51,5.06,5.95,7.92,7.08,US06
5,Colorado,5.11,11.23,24.21,6.98,2.88,3.27,2.2,2.96,2.79,2.51,3.22,1.93,1.84,2.31,2.13,US08
6,Connecticut,2.6,6.19,9.23,3.19,1.08,1.22,1.47,1.03,1.18,1.34,0.58,0.72,0.9,0.69,0.69,US09
7,Delaware,0.0,0.45,3.32,3.77,0.44,0.01,0.04,0.13,0.0,0.11,1.08,0.28,0.49,0.4,0.14,US10
8,District of Columbia,0.91,5.11,8.21,2.55,0.3,0.78,0.94,0.34,1.33,0.98,0.32,0.49,0.93,0.43,0.58,US11
9,Florida,1.31,3.79,5.58,1.77,0.77,0.54,0.42,0.48,0.43,1.01,0.32,0.4,0.26,0.45,0.26,US12
10,Georgia,1.69,4.16,7.91,3.06,1.8,0.91,1.71,0.7,0.94,1.19,1.05,0.77,0.83,0.92,0.6,US13
11,Hawaii,0.11,0.33,4.9,0.89,0.1,0.27,0.49,0.21,0.28,0.08,0.11,0.11,0.16,0.01,0.01,US15
12,Idaho,1.02,0.5,0.54,0.07,0.28,1.32,0.06,0.16,0.0,0.3,0.22,0.26,0.14,0.09,0.26,US16
13,Illinois,1.0,3.16,4.97,1.97,0.62,0.73,0.5,0.49,0.68,0.81,0.7,0.36,0.9,1.15,0.82,US17
14,Indiana,0.22,0.25,1.36,0.27,0.19,0.11,0.28,0.43,0.28,0.32,0.47,0.62,0.25,0.63,0.28,US18
15,Iowa,0.1,0.16,0.33,0.06,0.02,0.0,0.09,0.27,0.0,0.05,0.3,0.62,0.37,0.19,0.03,US19
16,Kansas,0.13,0.37,3.09,0.45,0.08,0.26,0.38,0.02,0.1,0.68,0.37,0.07,0.33,0.42,0.34,US20
17,Kentucky,0.35,0.72,1.78,0.2,0.11,0.04,0.41,0.23,0.24,0.35,0.19,0.09,0.07,0.08,0.14,US21
18,Louisiana,0.56,2.36,0.86,0.58,0.14,0.01,0.02,0.02,0.06,0.08,0.04,0.05,0.08,0.09,0.05,US22
19,Maine,1.92,1.68,3.85,0.1,0.39,0.02,0.59,0.1,0.17,0.1,0.41,0.16,0.04,0.74,0.24,US23
20,Maryland,2.03,3.8,9.95,5.12,3.08,1.61,2.21,1.98,2.53,2.26,1.7,1.03,1.21,1.03,0.89,US24
21,Massachusetts,8.52,19.71,37.77,16.91,8.77,9.22,8.94,7.99,8.52,10.54,8.22,5.75,6.3,7.9,7.74,US25
